Name,Category,Brand,Audience,Price USD,Image Link,Description
New Balance 574,Sports,New Balance,Men's,100,https://images.footlocker.com/is/image/EBFL2/ML574EVE?wid=250&hei=250,"The 574 is a heritage running shoe with ENCAP midsole technology. Featuring suede and mesh construction, it offers retro styling with reliable everyday comfort."
Nike Air Max 270,Sports,Nike,Men's,170,https://images.footlocker.com/is/image/EBFL2/H8050005?wid=250&hei=250,"The Air Max 270 is a modern lifestyle sneaker with Nike's largest Air unit. Featuring breathable mesh construction, it delivers all-day comfort with contemporary street style."
Nike Air Max Plus,Sports,Nike,Men's,190,https://images.footlocker.com/is/image/EBFL2/04133139?wid=250&hei=250,"The Air Max Plus is an iconic runner with distinctive wavy design lines. Featuring Tuned Air technology and gradient colorways, it brings bold athletic style to everyday wear."
Jordan AJ 1 Mid,Sports,Jordan,Men's,130,https://images.footlocker.com/is/image/EBFL2/Q8426067?wid=250&hei=250,"The AJ 1 Mid is a classic basketball shoe with premium leather construction. Featuring the iconic Wings logo and Air-Sole cushioning, it delivers court-inspired style for daily wear."
adidas Originals Samba XLG,Casual,adidas,Men's,110,https://images.footlocker.com/is/image/EBFL2/IE1377?wid=250&hei=250,"The Samba XLG is a classic indoor soccer shoe turned streetwear icon. Featuring premium leather and gum rubber sole, it adds timeless athletic style to casual outfits."
New Balance 574,Sports,New Balance,Men's,100,https://images.footlocker.com/is/image/EBFL2/ML574EVB?wid=250&hei=250,"The 574 is a heritage running shoe with ENCAP midsole technology. Featuring suede and mesh construction, it offers retro styling with reliable everyday comfort."
Nike Air Max 95 OG,Sports,Nike,Men's,190,https://images.footlocker.com/is/image/EBFL2/M8755001?wid=250&hei=250,"The Air Max 95 OG is a legendary sneaker inspired by human anatomy. Featuring visible Air cushioning and layered design, it combines heritage appeal with modern comfort."
Nike Dunk Low Retro Bttys,Sports,Nike,Men's,115,https://images.footlocker.com/is/image/EBFL2/F5441103?wid=250&hei=250,"The Dunk Low Retro is a skateboarding-inspired shoe with classic colorblocking. Featuring premium leather construction and low-profile design, it brings versatile street style to any look."
Jordan Retro 3,Sports,Jordan,Men's,200,https://images.footlocker.com/is/image/EBFL2/T8532101?wid=250&hei=250,"The Retro 3 is a championship-winning basketball shoe with signature elephant print. Featuring visible Air cushioning and premium materials, it brings authentic Jordan heritage to your collection."
adidas Originals Samba XLG,Casual,adidas,Men's,110,https://images.footlocker.com/is/image/EBFL2/IE1379?wid=250&hei=250,"The Samba XLG is a classic indoor soccer shoe turned streetwear icon. Featuring premium leather and gum rubber sole, it adds timeless athletic style to casual outfits."
Crocs Classic Clogs,Comfort,Crocs,Men's,50,https://images.footlocker.com/is/image/EBFL2/10001BLK?wid=250&hei=250,"The Crocs Classic Clogs is a comfortable sneaker with quality construction. Featuring durable materials and versatile styling, it adds reliable performance to your footwear collection."
Nike Air Force 1 Low '07,Sports,Nike,Men's,130,https://images.footlocker.com/is/image/EBFL2/Q3823100?wid=250&hei=250,"The Air Force 1 Low '07 is a basketball shoe with full-length Air cushioning. Featuring leather construction and iconic design, it delivers court-inspired style for daily use."
Nike Dunk Low Retro Bttys,Sports,Nike,Men's,120,https://images.footlocker.com/is/image/EBFL2/F5441104?wid=250&hei=250,"The Dunk Low Retro is a skateboarding-inspired shoe with classic colorblocking. Featuring premium leather construction and low-profile design, it brings versatile street style to any look."
adidas Originals Campus 00s,Casual,adidas,Men's,110,https://images.footlocker.com/is/image/EBFL2/HQ8707?wid=250&hei=250,"The Originals Campus 00s is an athletic shoe with German engineering. Featuring quality construction and sporty design, it combines performance with street-ready style."
Nike Shox R4,Casual,Nike,Men's,155,https://images.footlocker.com/is/image/EBFL2/Q1988001?wid=250&hei=250,"The Shox R4 is a performance sneaker with innovative design. Featuring quality materials and athletic styling, it brings modern comfort to active lifestyles."
Nike Air Force 1 '07,Sports,Nike,Men's,115,https://images.footlocker.com/is/image/EBFL2/J4146402?wid=250&hei=250,"The Air Force 1 '07 is a basketball shoe with full-length Air cushioning. Featuring leather construction and iconic design, it delivers court-inspired style for daily use."
Nike Vomero 5,Casual,Nike,Men's,170,https://images.footlocker.com/is/image/EBFL2/I1694001?wid=250&hei=250,"The Vomero 5 is a performance sneaker with innovative design. Featuring quality materials and athletic styling, it brings modern comfort to active lifestyles."
Jordan Spizike Low,Sports,Jordan,Men's,160,https://images.footlocker.com/is/image/EBFL2/Q1759003?wid=250&hei=250,"The Spizike Low is a basketball shoe with premium construction. Featuring iconic Jordan styling and performance features, it adds legendary athletic heritage to your rotation."
Nike Air Force 1 '07,Sports,Nike,Men's,130,https://images.footlocker.com/is/image/EBFL2/H7332001?wid=250&hei=250,"The Air Force 1 '07 is a basketball shoe with full-length Air cushioning. Featuring leather construction and iconic design, it delivers court-inspired style for daily use."
Nike Air Force 1 '07 LV8,Sports,Nike,Men's,125,https://images.footlocker.com/is/image/EBFL2/Q2037100?wid=250&hei=250,"The Air Force 1 '07 LV8 is a basketball shoe with full-length Air cushioning. Featuring leather construction and iconic design, it delivers court-inspired style for daily use."
Nike Air Force 1 '07 LV8 EMB,Sports,Nike,Men's,125,https://images.footlocker.com/is/image/EBFL2/F2898100?wid=250&hei=250,"The Air Force 1 '07 LV8 EMB is a basketball shoe with full-length Air cushioning. Featuring leather construction and iconic design, it delivers court-inspired style for daily use."
Nike Air More Uptempo Low,Casual,Nike,Men's,160,https://images.footlocker.com/is/image/EBFL2/Z3055001?wid=250&hei=250,"The Air More Uptempo Low is a performance sneaker with innovative design. Featuring quality materials and athletic styling, it brings modern comfort to active lifestyles."
Nike Dunk Low Retro Bttys,Sports,Nike,Men's,130,https://images.footlocker.com/is/image/EBFL2/H7333200?wid=250&hei=250,"The Dunk Low Retro is a skateboarding-inspired shoe with classic colorblocking. Featuring premium leather construction and low-profile design, it brings versatile street style to any look."
New Balance BB550,Casual,New Balance,Men's,110,https://images.footlocker.com/is/image/EBFL2/BB550FF1?wid=250&hei=250,"The BB550 is a running shoe with heritage styling. Featuring premium materials and comfortable cushioning, it offers classic athletic design for everyday wear."
New Balance 2002R,Casual,New Balance,Men's,145,https://images.footlocker.com/is/image/EBFL2/M2002RST?wid=250&hei=250,"The 2002R is a running shoe with heritage styling. Featuring premium materials and comfortable cushioning, it offers classic athletic design for everyday wear."
Nike Air Max Plus,Sports,Nike,Men's,180,https://images.footlocker.com/is/image/EBFL2/M0032015?wid=250&hei=250,"The Air Max Plus is an iconic runner with distinctive wavy design lines. Featuring Tuned Air technology and gradient colorways, it brings bold athletic style to everyday wear."
Jordan Spizike Low,Sports,Jordan,Men's,160,https://images.footlocker.com/is/image/EBFL2/Q1759201?wid=250&hei=250,"The Spizike Low is a basketball shoe with premium construction. Featuring iconic Jordan styling and performance features, it adds legendary athletic heritage to your rotation."
Jordan Spizike Low,Sports,Jordan,Men's,165,https://images.footlocker.com/is/image/EBFL2/Q1759008?wid=250&hei=250,"The Spizike Low is a basketball shoe with premium construction. Featuring iconic Jordan styling and performance features, it adds legendary athletic heritage to your rotation."
Jordan MVP 92,Sports,Jordan,Men's,145,https://images.footlocker.com/is/image/EBFL2/3950006?wid=250&hei=250,"The MVP 92 is a basketball shoe with premium construction. Featuring iconic Jordan styling and performance features, it adds legendary athletic heritage to your rotation."
Nike V2K Run,Casual,Nike,Men's,120,https://images.footlocker.com/is/image/EBFL2/H4497100?wid=250&hei=250,"The V2K Run is a performance sneaker with innovative design. Featuring quality materials and athletic styling, it brings modern comfort to active lifestyles."
New Balance 740,Casual,New Balance,Men's,115,https://images.footlocker.com/is/image/EBFL2/U740SG2?wid=250&hei=250,"The 740 is a running shoe with heritage styling. Featuring premium materials and comfortable cushioning, it offers classic athletic design for everyday wear."
Jordan Flight Club '91,Sports,Jordan,Men's,145,https://images.footlocker.com/is/image/EBFL2/5475102?wid=250&hei=250,"The Flight Club '91 is a basketball shoe with premium construction. Featuring iconic Jordan styling and performance features, it adds legendary athletic heritage to your rotation."
Nike Dunk Low Retro Bttys,Sports,Nike,Men's,120,https://images.footlocker.com/is/image/EBFL2/F5441005?wid=250&hei=250,"The Dunk Low Retro is a skateboarding-inspired shoe with classic colorblocking. Featuring premium leather construction and low-profile design, it brings versatile street style to any look."
Jordan AJ 1 Low,Sports,Jordan,Men's,120,https://images.footlocker.com/is/image/EBFL2/53558081?wid=250&hei=250,"The AJ 1 Low is a basketball shoe with premium construction. Featuring iconic Jordan styling and performance features, it adds legendary athletic heritage to your rotation."
Jordan 6 Rings,Sports,Jordan,Men's,170,https://images.footlocker.com/is/image/EBFL2/22992026?wid=250&hei=250,"The 6 Rings is a basketball shoe with premium construction. Featuring iconic Jordan styling and performance features, it adds legendary athletic heritage to your rotation."
Nike Air Max 1,Sports,Nike,Men's,150,https://images.footlocker.com/is/image/EBFL2/M9604400?wid=250&hei=250,"The Air Max 1 is a lifestyle sneaker with Air cushioning technology. Featuring durable construction and modern design, it combines athletic comfort with everyday style."
New Balance 9060,Casual,New Balance,Men's,160,https://images.footlocker.com/is/image/EBFL2/29060JBE?wid=250&hei=250,"The 9060 is a running shoe with heritage styling. Featuring premium materials and comfortable cushioning, it offers classic athletic design for everyday wear."
Nike Air Max DN8,Sports,Nike,Men's,190,https://images.footlocker.com/is/image/EBFL2/Q7860008?wid=250&hei=250,"The Air Max DN8 is a lifestyle sneaker with Air cushioning technology. Featuring durable construction and modern design, it combines athletic comfort with everyday style."
Nike Air More Uptempo Low,Casual,Nike,Men's,160,https://images.footlocker.com/is/image/EBFL2/Z3055003?wid=250&hei=250,"The Air More Uptempo Low is a performance sneaker with innovative design. Featuring quality materials and athletic styling, it brings modern comfort to active lifestyles."
Nike Air Max 95 OG,Sports,Nike,Men's,190,https://images.footlocker.com/is/image/EBFL2/B1667002?wid=250&hei=250,"The Air Max 95 OG is a legendary sneaker inspired by human anatomy. Featuring visible Air cushioning and layered design, it combines heritage appeal with modern comfort."
Nike Nike Dunk Low Retro SE NA1,Sports,Nike,Men's,125,https://images.footlocker.com/is/image/EBFL2/V5749110?wid=250&hei=250,"The Dunk Low Retro SE NA1 is a skateboard-inspired shoe with premium materials. Featuring classic colorblocking and versatile design, it adds authentic street style to casual wear."
