"Name","Category","Brand","Color","Audience","Price USD","Image Link","Description","Generic Colors"
"Jordan Retro 5 OG","Basketball","Jordan","White / Black / Fire Red","Men's","215","https://images.footlocker.com/is/image/EBFL2/Q7978101?wid=250&hei=250","The Air Jordan 5 showcases a fighter jet-inspired design with reflective tongue. Featuring premium construction and Air cushioning, it offers bold style with superior comfort.","White / Black / Red"
"Jordan AJ 1 Mid SE","Basketball","Jordan","Purple / White / Black","Men's","119.99","https://images.footlocker.com/is/image/EBFL2/V1308004?wid=250&hei=250","The Jordan AJ 1 Mid SE features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Purple / White / Black"
"Nike Air Force 1 '07","Lifestyle","Nike","White / White","Men's","115","https://images.footlocker.com/is/image/EBFL2/W2288111?wid=250&hei=250","The Air Force 1 is Nike's iconic basketball-turned-lifestyle sneaker. Featuring premium leather construction and Air cushioning, it delivers timeless style with all-day comfort.","White / White"
"Nike Air Force 1 Low '07","Lifestyle","Nike","Black / Red / Black","Men's","115","https://images.footlocker.com/is/image/EBFL2/F4146002?wid=250&hei=250","The Air Force 1 is Nike's iconic basketball-turned-lifestyle sneaker. Featuring premium leather construction and Air cushioning, it delivers timeless style with all-day comfort.","Black / Red / Black"
"Timberland 6"" Premium Waterproof Boots","Outdoor","Timberland","Wheat","Men's","198","https://images.footlocker.com/is/image/EBFL2/10061713?wid=250&hei=250","The Timberland 6"" Premium Waterproof Boots features premium waterproof construction and durable materials. Built for outdoor performance and all-weather protection, it delivers rugged style with reliable comfort.","Brown"
"Nike Air Force 1 '07","Lifestyle","Nike","Black / Black","Men's","115","https://images.footlocker.com/is/image/EBFL2/2288001M?wid=250&hei=250","The Air Force 1 is Nike's iconic basketball-turned-lifestyle sneaker. Featuring premium leather construction and Air cushioning, it delivers timeless style with all-day comfort.","Black / Black"
"Nike Dunk Low Retro","Basketball","Nike","White / Black / White","Men's","89.99","https://images.footlocker.com/is/image/EBFL2/D1391100?wid=250&hei=250","The Dunk features classic basketball-inspired design with premium construction. Built with quality materials and supportive fit, it delivers versatile style with comfortable wear.","White / Black / White"
"New Balance 9060","Running","New Balance","Grey / Black","Men's","160","https://images.footlocker.com/is/image/EBFL2/98893005?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Grey / Black"
"Nike Air Vapormax Plus","Running","Nike","Black / Black / Dark Grey","Men's","220","https://images.footlocker.com/is/image/EBFL2/24453004?wid=250&hei=250","The VaporMax features Nike's revolutionary full-length Air sole unit. With lightweight construction and futuristic design, it delivers maximum cushioning with contemporary style.","Black / Black / Grey"
"Jordan Retro 1 High OG","Basketball","Jordan","Black / Sail / Black","Men's","185","https://images.footlocker.com/is/image/EBFL2/Z5485008?wid=250&hei=250","The Air Jordan 1 is the iconic basketball sneaker that started it all. Featuring premium leather construction and classic silhouette, it delivers timeless style with modern comfort.","Black / White / Black"
"Jordan Retro 12","Basketball","Jordan","Metallic Silver / University Blue / White","Men's","184.99","https://images.footlocker.com/is/image/EBFL2/C8013112?wid=250&hei=250","The Air Jordan 1 is the iconic basketball sneaker that started it all. Featuring premium leather construction and classic silhouette, it delivers timeless style with modern comfort.","Grey / Blue / White"
"Jordan Retro 12","Basketball","Jordan","White / French Blue / Metallic Silver","Men's","205","https://images.footlocker.com/is/image/EBFL2/T8013114?wid=250&hei=250","The Air Jordan 1 is the iconic basketball sneaker that started it all. Featuring premium leather construction and classic silhouette, it delivers timeless style with modern comfort.","White / Blue / Grey"
"Jordan Retro 3","Basketball","Jordan","White / Metallic Silver / White","Men's","205","https://images.footlocker.com/is/image/EBFL2/T8532111?wid=250&hei=250","The Air Jordan 3 revolutionized basketball footwear with its elephant print design. Featuring visible Air cushioning and premium materials, it combines heritage style with performance comfort.","White / Grey / White"
"Timberland 5/8 Chukka Rockaway","Outdoor","Timberland","Finch Nubuck","Men's","94.99","https://images.footlocker.com/is/image/EBFL2/A6F85EN3?wid=250&hei=250","The Timberland 5/8 Chukka Rockaway features Timberland's premium construction and durable design. Built with quality materials and supportive fit, it delivers outdoor-ready style with lasting comfort.","Brown"
"Nike Air Max 90","Running","Nike","Gum Medium Brown / White / Midnight Navy","Men's","119.99","https://images.footlocker.com/is/image/EBFL2/B9658400?wid=250&hei=250","The Air Max 90 features Nike's iconic visible Air cushioning and premium construction. With breathable materials and classic design, it delivers retro style with modern comfort.","Brown / White / Blue"
"Jordan Retro 8","Basketball","Jordan","Purple / Teal / Black","Men's","215","https://images.footlocker.com/is/image/EBFL2/35381006?wid=250&hei=250","The Air Jordan 8 features a distinctive cross-strap design and premium construction. With supportive fit and classic styling, it delivers basketball heritage with contemporary comfort.","Purple / Blue / Black"
"Jordan Spizike Low","Basketball","Jordan","Black / Black / Black","Men's","165","https://images.footlocker.com/is/image/EBFL2/Q1759001?wid=250&hei=250","The Jordan Spizike blends elements from multiple classic Air Jordan models. Featuring premium construction and hybrid design, it delivers unique style with comfortable performance.","Black / Black / Black"
"Jordan Air Jordan 1 Mid SE NAS","Basketball","Jordan","Wof Grey / White / Black","Men's","119.99","https://images.footlocker.com/is/image/EBFL2/V5177010?wid=250&hei=250","The Jordan Air Jordan 1 Mid SE NAS features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Grey / White / Black"
"Jordan Air Jordan 1 Mid SE","Basketball","Jordan","Black / Varsity Maize","Men's","124.99","https://images.footlocker.com/is/image/EBFL2/H6654071?wid=250&hei=250","The Jordan Air Jordan 1 Mid SE features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Black / Yellow"
"New Balance 9060","Running","New Balance","Reflection / Black / Grey","Men's","160","https://images.footlocker.com/is/image/EBFL2/2U9060JB?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Reflection / Black / Grey"
"New Balance 9060","Running","New Balance","Vintage Indigo / Grey","Men's","104.99","https://images.footlocker.com/is/image/EBFL2/U9060FL?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Blue / Grey"
"Nike P-6000","Lifestyle","Nike","Black / Black","Men's","115","https://images.footlocker.com/is/image/EBFL2/D6404002?wid=250&hei=250","The Nike P-6000 features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Black / Black"
"New Balance 740","Lifestyle","New Balance","Navy / White","Men's","89.99","https://images.footlocker.com/is/image/EBFL2/U740WN2?wid=250&hei=250","The New Balance 740 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Blue / White"
"Nike P-6000","Lifestyle","Nike","Black / White / Silver","Men's","115","https://images.footlocker.com/is/image/EBFL2/D6404107?wid=250&hei=250","The Nike P-6000 features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Black / White / Grey"
"Jordan AJ 1 Low","Basketball","Jordan","Sail / Fire Red / College Grey","Men's","120","https://images.footlocker.com/is/image/EBFL2/53558169?wid=250&hei=250","The Jordan AJ 1 Low features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","White / Red / Grey"
"Jordan Franchise Slides","Basketball","Jordan","Black / White","Men's","35","https://images.footlocker.com/is/image/EBFL2/F3263001?wid=250&hei=250","The Jordan Franchise Slides features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Black / White"
"ASICS GEL-1130","Running","ASICS","Cream / Pure Silver / Navy","Men's","110","https://images.footlocker.com/is/image/EBFL2/3A784100?wid=250&hei=250","The ASICS GEL-1130 features advanced cushioning technology and lightweight construction. Built for running performance and comfort, it delivers athletic style with responsive feel.","White / Grey / Blue"
"Nike Air Max Plus","Running","Nike","Black / Black / Black","Men's","190","https://images.footlocker.com/is/image/EBFL2/04133050?wid=250&hei=250","The Air Max features Nike's signature visible Air cushioning technology. Built with premium materials and classic styling, it delivers comfort and performance with iconic design.","Black / Black / Black"
"Nike Air Max Plus","Running","Nike","Pure Platinum / University Blue / Dark Smoke Grey","Men's","159.99","https://images.footlocker.com/is/image/EBFL2/M0032015?wid=250&hei=250","The Air Max features Nike's signature visible Air cushioning technology. Built with premium materials and classic styling, it delivers comfort and performance with iconic design.","Grey / Blue / Grey"
"Nike Vomero 5","Lifestyle","Nike","Black / Black","Men's","170","https://images.footlocker.com/is/image/EBFL2/V1358003?wid=250&hei=250","The Nike Vomero 5 features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Black / Black"
"Jordan AJ 1 Mid","Basketball","Jordan","Black / White / Off Noir","Men's","114.99","https://images.footlocker.com/is/image/EBFL2/Q8426010?wid=250&hei=250","The Jordan AJ 1 Mid features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Black / White / Black"
"Nike Air Max 90","Running","Nike","Particle Grey / Light Smoke Grey / White","Men's","114.99","https://images.footlocker.com/is/image/EBFL2/D0029112?wid=250&hei=250","The Air Max 90 features Nike's iconic visible Air cushioning and premium construction. With breathable materials and classic design, it delivers retro style with modern comfort.","Grey / Grey / White"
"New Balance 9060","Running","New Balance","Grey / Heron Blue","Men's","104.99","https://images.footlocker.com/is/image/EBFL2/U9060FM?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Grey / Blue"
"Nike Air Force 1 '07 LV8","Lifestyle","Nike","Black / Wolf Grey","Men's","125","https://images.footlocker.com/is/image/EBFL2/Q2037004?wid=250&hei=250","The Air Force 1 is Nike's iconic basketball-turned-lifestyle sneaker. Featuring premium leather construction and Air cushioning, it delivers timeless style with all-day comfort.","Black / Grey"
"Jordan AJ 1 Low","Basketball","Jordan","Black / Varsity Red / Summit White","Men's","104.99","https://images.footlocker.com/is/image/EBFL2/53558067?wid=250&hei=250","The Jordan AJ 1 Low features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Black / Red / White"
"Jordan Air Jordan 1 Low SE","Basketball","Jordan","Fire Red / White / Matte Silver","Men's","114.99","https://images.footlocker.com/is/image/EBFL2/F3148106?wid=250&hei=250","The Jordan Air Jordan 1 Low SE features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Red / White / Grey"
"Nike P-6000","Lifestyle","Nike","Lightning / Black / Silver","Men's","79.99","https://images.footlocker.com/is/image/EBFL2/D6404701?wid=250&hei=250","The Nike P-6000 features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Lightning / Black / Grey"
"Jordan MVP","Basketball","Jordan","Red / Black / Black","Men's","149.99","https://images.footlocker.com/is/image/EBFL2/Z4475600?wid=250&hei=250","The Jordan MVP features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Red / Black / Black"
"Nike P-6000","Lifestyle","Nike","Metallic Silver / Gym Red / Black","Men's","99.99","https://images.footlocker.com/is/image/EBFL2/D6404024?wid=250&hei=250","The Nike P-6000 features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Grey / Red / Black"
"ASICS GEL-NYC","Running","ASICS","White / Smoke Grey","Men's","130","https://images.footlocker.com/is/image/EBFL2/3A383111?wid=250&hei=250","The ASICS GEL-NYC features advanced cushioning technology and lightweight construction. Built for running performance and comfort, it delivers athletic style with responsive feel.","White / Grey"
